Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR35839622,2025-10-21 23:03:24,2025-10-21 22:59:17,21208,10257662,0,483,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839622/SRR35839622.1,SRX30888971,phl81,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890713,SAMN52858264,simple,1773,Mycobacterium tuberculosis,phl81.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,4E33E60246C976431C68BD16A87CBD75,6C4543E251C07201A6D1E68FE5339971
SRR35839621,2025-10-21 23:03:25,2025-10-21 22:59:11,17004,8303450,0,488,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839621/SRR35839621.1,SRX30888972,phl82,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890715,SAMN52858265,simple,1773,Mycobacterium tuberculosis,phl82.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,CE97817DC769AEC906CED021B85D684B,F8BE69B2B494E0638E288C6CE4E6C61D
SRR35839620,2025-10-21 23:03:26,2025-10-21 22:58:56,19233,9087203,0,472,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839620/SRR35839620.1,SRX30888973,phl83,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890717,SAMN52858266,simple,1773,Mycobacterium tuberculosis,phl83.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,826175E496188350FD97A135C0E5E772,80A3E073C3D2BC769C9F602E6AEDD7F4
SRR35839623,2025-10-21 23:03:25,2025-10-21 22:58:56,16811,8883937,0,528,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839623/SRR35839623.1,SRX30888970,phl9,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890714,SAMN52858192,simple,1773,Mycobacterium tuberculosis,phl9.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,F1EF045D9E55C88DEAA00464720BFF6D,AA6EBF06D79F977D317487DD529C1A68
SRR35839629,2025-10-21 23:03:20,2025-10-21 22:58:55,22661,10802832,0,476,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839629/SRR35839629.1,SRX30888964,phl75,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890707,SAMN52858258,simple,1773,Mycobacterium tuberculosis,phl75.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,4FB0CB2769EDC1A8A61BC34C1CA6B2A4,63911A029EC77FEE024E057D2D58C431
SRR35839628,2025-10-21 23:03:21,2025-10-21 22:58:56,21035,10279201,0,488,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839628/SRR35839628.1,SRX30888965,phl76,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890708,SAMN52858259,simple,1773,Mycobacterium tuberculosis,phl76.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,C066A2B637675814A117D3AE67545637,E0F04C90BA25F112A3DFBF5123F24D1D
SRR35839627,2025-10-21 23:03:23,2025-10-21 22:59:18,34511,13939367,0,403,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839627/SRR35839627.1,SRX30888966,phl77,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890709,SAMN52858260,simple,1773,Mycobacterium tuberculosis,phl77.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,1321F8F6B991D4115DEACBA315581580,6588DC649ED160A045732BC0AF41A84B
SRR35839626,2025-10-21 23:03:23,2025-10-21 22:58:56,18956,5576574,0,294,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839626/SRR35839626.1,SRX30888967,phl78,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890710,SAMN52858261,simple,1773,Mycobacterium tuberculosis,phl78.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,4DD560850E8584BB17DA36608036A3A9,D3284CB2051EF3A9CE26B65353F4EF45
SRR35839625,2025-10-21 23:03:24,2025-10-21 22:58:55,13482,5182965,0,384,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839625/SRR35839625.1,SRX30888968,phl79,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890711,SAMN52858262,simple,1773,Mycobacterium tuberculosis,phl79.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,C0FF4F62F797E96BB5E8F354118F0659,CFA58BFDE8899250D3EB8A93C2A12924
SRR35839633,2025-10-21 23:03:04,2025-10-21 22:59:06,21319,9811638,0,460,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839633/SRR35839633.1,SRX30888960,phl71,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890703,SAMN52858254,simple,1773,Mycobacterium tuberculosis,phl71.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,9968968F1FC7ECA142BFBAE4AEC14AED,733192415E237AF7767322B1B4ABCAF4
SRR35839632,2025-10-21 23:03:12,2025-10-21 22:59:16,15476,7473235,0,482,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839632/SRR35839632.1,SRX30888961,phl72,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890704,SAMN52858255,simple,1773,Mycobacterium tuberculosis,phl72.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,BB9C4600DAB404A4601C98202EF30DA3,5D30CEC0A645253C4857A88B8E8FC338
SRR35839631,2025-10-21 23:03:13,2025-10-21 22:59:17,11208,5810580,0,518,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839631/SRR35839631.1,SRX30888962,phl73,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890705,SAMN52858256,simple,1773,Mycobacterium tuberculosis,phl73.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,CF5FDBCCD92BA588E5A483DEDF7751C4,B5B1E2B0BB638D2C80E21F9DE71B3C81
SRR35839630,2025-10-21 23:03:06,2025-10-21 22:58:57,11842,5331544,0,450,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839630/SRR35839630.1,SRX30888963,phl74,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890706,SAMN52858257,simple,1773,Mycobacterium tuberculosis,phl74.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,85DA8182EB79C418BFB1C0000E26D52F,D8C2587E3AC5BA1FFD30C24401A61601
SRR35839634,2025-10-21 23:03:12,2025-10-21 22:59:00,40054,21009141,0,524,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839634/SRR35839634.1,SRX30888959,phl8,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890702,SAMN52858191,simple,1773,Mycobacterium tuberculosis,phl8.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,0C0D0ABD76F5DEBEB1CB34586CC37A14,BD6175341B0AA6B8AAA6E7D894A8291B
SRR35839639,2025-10-21 23:03:03,2025-10-21 22:59:17,42903,22215808,0,517,21,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839639/SRR35839639.1,SRX30888954,phl66,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890697,SAMN52858249,simple,1773,Mycobacterium tuberculosis,phl66.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,2C997D33BF99E72628E7E0CC47CAD19E,1B03B0193B17F31280F1DB977FFA2947
SRR35839638,2025-10-21 23:03:14,2025-10-21 22:59:34,36618,19114670,0,522,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839638/SRR35839638.1,SRX30888955,phl67,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890698,SAMN52858250,simple,1773,Mycobacterium tuberculosis,phl67.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,803E74D51C53A9BA063BC86DDCB51FAB,B343BF81B7584DA04349B1FE53FBA6C3
SRR35839637,2025-10-21 23:03:09,2025-10-21 22:59:29,20122,10225756,0,508,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR035/35839/SRR35839637/SRR35839637.1,SRX30888956,phl68,AMPLICON,PCR,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP636653,PRJNA1338723,,1338723,SRS26890699,SAMN52858251,simple,1773,Mycobacterium tuberculosis,phl68.fastq,,,,,,,no,,,,,UNIVERSITY OF ALASKA ANCHORAGE,SRA2256842,,public,AB7818297C717DD2B042F57719F9EDCE,AB08CE819FC18AA6EA040CC9FC0507D2
